spot,time,occupied,occID
54,1:00 PM,813,50
54,2:00 PM,813,50
54,3:00 PM,813,50
54,4:00 PM,813,50
54,5:00 PM,813,50
54,6:00 PM,813,50
54,7:00 PM,813,50
54,8:00 PM,813,50
55,6:00 AM,1NV,50
55,7:00 AM,1NV,50
55,8:00 AM,,1
55,9:00 AM,9NX,50
55,10:00 AM,9NX,50
55,11:00 AM,9NX,50
55,12:00 PM,9NX,50
55,1:00 PM,9NX,50
55,2:00 PM,9NX,50
55,3:00 PM,9NX,50
55,4:00 PM,9NX,50
55,5:00 PM,9NX,50
55,6:00 PM,7DL,50
55,7:00 PM,1M4,50
55,8:00 PM,8NC,50
56,6:00 AM,6CF,50
56,7:00 AM,6CF,50
56,8:00 AM,5GC,50
56,9:00 AM,5GC,50
56,10:00 AM,5GC,50
56,11:00 AM,5GC,50
56,12:00 PM,5GC,50
56,1:00 PM,5GC,50
56,2:00 PM,5GC,50
56,3:00 PM,5GC,50
56,4:00 PM,5GC,50
56,5:00 PM,5GC,50
56,6:00 PM,,1
56,7:00 PM,1NV,50
56,8:00 PM,1NV,50
57,6:00 AM,7DL,50
57,7:00 AM,ZKZ,50
57,8:00 AM,ZKZ,50
57,9:00 AM,ZKZ,50
57,10:00 AM,ZKZ,50
57,11:00 AM,ZKZ,50
57,12:00 PM,ZKZ,50
57,1:00 PM,ZKZ,50
57,2:00 PM,ZKZ,50
57,3:00 PM,ZKZ,50
57,4:00 PM,ZKZ,50
57,5:00 PM,ZKZ,50
57,6:00 PM,ZKZ,50
57,7:00 PM,ZKZ,50
57,8:00 PM,ZKZ,50
58,6:00 AM,6LZ,50
58,7:00 AM,6LZ,50
58,8:00 AM,6LZ,50
58,9:00 AM,,1
58,10:00 AM,,1
58,11:00 AM,,1
58,12:00 PM,,1
58,1:00 PM,,1
58,2:00 PM,8NC,50
58,3:00 PM,8NC,50
58,4:00 PM,6VJ,50
58,5:00 PM,,1
58,6:00 PM,,1
58,7:00 PM,,1
58,8:00 PM,BGW,50
59,6:00 AM,,1
59,7:00 AM,IRL,50
59,8:00 AM,IRL,50
59,9:00 AM,IRL,50
59,10:00 AM,IRL,50
59,11:00 AM,IRL,50
59,12:00 PM,IRL,50
59,1:00 PM,IRL,50
59,2:00 PM,IRL,50
59,3:00 PM,IRL,50
59,4:00 PM,IRL,50
59,5:00 PM,,1
59,6:00 PM,,1
59,7:00 PM,9JL,50
59,8:00 PM,6DY,50
60,6:00 AM,6RG,50
60,7:00 AM,6RG,50
60,8:00 AM,6RG,50
60,9:00 AM,,1
60,10:00 AM,9GB,50
60,11:00 AM,9GB,50
60,12:00 PM,9GB,50
60,1:00 PM,9GB,50
60,2:00 PM,9GB,50
60,3:00 PM,,1
60,4:00 PM,7JF,50
60,5:00 PM,155,50
60,6:00 PM,,1
60,7:00 PM,,1
60,8:00 PM,,1
61,6:00 AM,1KP,50
61,7:00 AM,1KP,50
61,8:00 AM,,1
61,9:00 AM,,1
61,10:00 AM,,1
61,11:00 AM,7RJ,50
61,12:00 PM,7RJ,50
61,1:00 PM,7RJ,50
61,2:00 PM,7RJ,50
61,3:00 PM,7RJ,50
61,4:00 PM,7RJ,50
61,5:00 PM,,1
61,6:00 PM,,1
61,7:00 PM,,1
61,8:00 PM,,1
62,6:00 AM,810,50
62,7:00 AM,,1
62,8:00 AM,V25,50
62,9:00 AM,,1
62,10:00 AM,F2G,50
62,11:00 AM,,1
62,12:00 PM,1MS,50
62,1:00 PM,,1
62,2:00 PM,,1
62,3:00 PM,,1
62,4:00 PM,959,50
62,5:00 PM,,1
62,6:00 PM,T69,50
62,7:00 PM,T69,50
62,8:00 PM,T69,50
63,6:00 AM,75D,50
63,7:00 AM,4LE,50
63,8:00 AM,4LE,50
63,9:00 AM,,1
63,10:00 AM,V21,50
63,11:00 AM,UP3,50
63,12:00 PM,UP3,50
63,1:00 PM,,1
63,2:00 PM,237,50
63,3:00 PM,,1
63,4:00 PM,,1
63,5:00 PM,,1
63,6:00 PM,,1
63,7:00 PM,8DP,50
63,8:00 PM,444,50
